Crash ID,State,YYYYMM,Year,Month,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road Userindex,Gender,Ageindex,Speed,Driving experienceindex,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day,Age,Road User,Driving experience
20216016,Tas,2021-09,2021,9,Monday,17:55:00,Single,No,No,No,Car driver,Male,68,115,27,Outer Regional Australia,West and North West,Waratah/Wynyard (M),National or State Highway,No,No,65_to_74,Day,,,
20211068,NSW,2021-09,2021,9,Tuesday,21:50:00,Single,No,No,No,Car passenger,Female,6,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night,,,
20216003,Tas,2021-09,2021,9,Thursday,13:40:00,Single,No,No,No,Car driver,Female,84,113,45,Outer Regional Australia,West and North West,Central Coast (M) (Tas.),Local Road,No,No,75_or_older,Day,,,
20213017,Qld,2021-09,2021,9,Wednesday,20:00:00,Single,No,No,No,Car driver,Male,63,77,29,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,40_to_64,Night,,,
20211049,NSW,2021-09,2021,9,Tuesday,13:15:00,Multiple,No,No,No,Car driver,Female,19,79,3,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,17_to_25,Day,,,
20213123,Qld,2021-09,2021,9,Tuesday,8:00:00,Single,No,No,No,Car driver,Male,26,136,7,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Day,,,
20211073,NSW,2021-09,2021,9,Wednesday,6:13:00,Single,No,No,No,Motorcycle rider,Male,32,101,12,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,26_to_39,Day,,,
20214058,SA,2021-09,2021,9,Friday,13:45:00,Multiple,No,Yes,No,Car driver,Male,77,114,44,Major Cities of Australia,Adelaide - South,Mitcham (C),National or State Highway,No,No,75_or_older,Day,,,
20211068,NSW,2021-09,2021,9,Tuesday,21:50:00,Single,No,No,No,Car passenger,Male,10,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night,,,
20213043,Qld,2021-09,2021,9,Friday,23:00:00,Single,No,No,No,Pedestrian,Male,19,0,3,Inner Regional Australia,Gold Coast,Scenic Rim (R),Local Road,No,No,17_to_25,Night,,,
20211140,NSW,2021-09,2021,9,Wednesday,20:00:00,Single,No,No,No,Pedestrian,Male,38,0,13,Major Cities of Australia,Capital Region,Queanbeyan-Palerang Regional,Arterial Road,No,No,26_to_39,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car driver,Female,37,119,13,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car passenger,Male,39,20,14,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night,,,
20216013,Tas,2021-09,2021,9,Tuesday,12:58:00,Single,No,No,No,Pedestrian,Female,4,0,2,Inner Regional Australia,Hobart,Glenorchy (C),Sub-Arterial Road,No,No,0_to_16,Day,,,
20211052,NSW,2021-09,2021,9,Monday,8:30:00,Single,No,No,Yes,Pedestrian,Male,39,0,11,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,26_to_39,Day,,,
20214067,SA,2021-09,2021,9,Friday,14:45:00,Single,No,No,No,Pedestrian,Female,90,0,45,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,75_or_older,Day,,,
20212153,Vic,2021-08,2021,8,Sunday,1:00:00,Single,No,No,No,Car driver,Male,36,66,12,Major Cities of Australia,Melbourne - North East,Mitchell (S),Local Road,No,No,26_to_39,Night,,,
20211083,NSW,2021-08,2021,8,Friday,18:01:00,Multiple,No,No,Yes,Car driver,Male,35,105,12,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,26_to_39,Night,,,
20216009,Tas,2021-08,2021,8,Sunday,1:30:00,Multiple,No,No,No,Car driver,Male,-999,75,40,Outer Regional Australia,South East,Derwent Valley (M),Arterial Road,No,No,40_to_64,Night,75.0,Car driver,40.0
20211180,NSW,2021-08,2021,8,Friday,20:50:00,Multiple,No,No,No,Car driver,Male,49,17,15,Major Cities of Australia,Sydney - City and Inner South,Bayside,Local Road,No,No,40_to_64,Night,,,
20216020,Tas,2021-08,2021,8,Saturday,19:14:00,Multiple,No,No,No,Motorcycle rider,Male,45,108,14,Inner Regional Australia,Launceston and North East,Launceston (C),Local Road,No,No,40_to_64,Night,,,
20211087,NSW,2021-08,2021,8,Saturday,18:00:00,Multiple,No,No,No,Car driver,Male,34,115,11,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Arterial Road,No,No,26_to_39,Night,,,
20213184,Qld,2021-08,2021,8,Saturday,23:00:00,Single,No,No,No,Car driver,Male,31,46,12,Inner Regional Australia,Gold Coast,Scenic Rim (R),Sub-Arterial Road,No,No,26_to_39,Night,,,
20211046,NSW,2021-08,2021,8,Saturday,0:05:00,Single,No,No,No,Car driver,Male,20,71,2,Remote Australia,Central West,Lachlan,Arterial Road,No,No,17_to_25,Night,,,
20213019,Qld,2021-08,2021,8,Thursday,19:00:00,Single,No,No,No,Car driver,Male,46,86,13,Very Remote Australia,Queensland - Outback,Quilpie (S),Sub-Arterial Road,No,No,40_to_64,Night,,,
20212153,Vic,2021-08,2021,8,Sunday,1:00:00,Single,No,No,No,Car passenger,Female,46,0,11,Major Cities of Australia,Melbourne - North East,Mitchell (S),Local Road,No,No,40_to_64,Night,,,
20213127,Qld,2021-08,2021,8,Thursday,18:00:00,Multiple,No,No,No,Motorcycle rider,Male,59,128,26,Inner Regional Australia,Logan - Beaudesert,Scenic Rim (R),Sub-Arterial Road,No,No,40_to_64,Night,,,
20213033,Qld,2021-08,2021,8,Saturday,11:00:00,Single,No,No,No,Car driver,Male,27,68,5,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Collector Road,No,No,26_to_39,Day,,,
20213175,Qld,2021-08,2021,8,Sunday,14:00:00,Single,No,No,No,Motorcycle rider,Female,40,118,13,Outer Regional Australia,Wide Bay,South Burnett (R),Collector Road,No,No,40_to_64,Day,,,
20213097,Qld,2021-08,2021,8,Sunday,14:00:00,Single,No,No,No,Car driver,Female,60,103,27,Inner Regional Australia,Central Queensland,Rockhampton (R),Local Road,No,No,40_to_64,Day,,,
20213185,Qld,2021-08,2021,8,Saturday,12:00:00,Multiple,No,No,No,Car driver,Male,20,124,63,Outer Regional Australia,Townsville,Townsville (C),National or State Highway,No,No,65_to_74,Day,108.0,Car driver,63.0
20212053,Vic,2021-08,2021,8,Friday,19:48:00,Multiple,No,No,No,Car driver,Male,77,75,41,Major Cities of Australia,Melbourne - South East,Monash (C),Arterial Road,No,No,75_or_older,Night,,,
20211187,NSW,2021-08,2021,8,Saturday,15:25:00,Single,No,No,No,Motorcycle rider,Male,18,49,1,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,No,No,17_to_25,Day,,,
20212086,Vic,2021-08,2021,8,Sunday,11:37:00,Single,No,No,No,Motorcycle rider,Male,26,127,8,Major Cities of Australia,Melbourne - Outer East,Knox (C),National or State Highway,No,No,26_to_39,Day,,,
20212072,Vic,2021-08,2021,8,Sunday,12:00:00,Multiple,No,No,No,Car driver,Male,85,52,41,Inner Regional Australia,Latrobe - Gippsland,Baw Baw (S),Arterial Road,No,No,75_or_older,Day,,,
20213163,Qld,2021-08,2021,8,Friday,6:00:00,Single,No,No,No,Car passenger,Male,29,20,4,Outer Regional Australia,Wide Bay,South Burnett (R),National or State Highway,No,No,26_to_39,Day,,,
20213098,Qld,2021-08,2021,8,Monday,12:00:00,Single,No,No,No,Car driver,Male,29,85,5,Remote Australia,Townsville,Charters Towers (R),Local Road,No,No,26_to_39,Day,,,
20212014,Vic,2021-08,2021,8,Friday,9:56:00,Multiple,No,No,No,Car driver,Female,35,124,13,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Arterial Road,No,No,26_to_39,Day,,,
20213071,Qld,2021-08,2021,8,Sunday,5:00:00,Multiple,No,No,Yes,Car passenger,Male,18,20,3,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac (R),National or State Highway,No,No,17_to_25,Night,,,
20214057,SA,2021-08,2021,8,Sunday,5:50:00,Multiple,No,Yes,No,Car driver,Male,18,124,2,Outer Regional Australia,South Australia - South East,Loxton Waikerie (DC),National or State Highway,No,No,17_to_25,Night,,,
20211007,NSW,2021-08,2021,8,Wednesday,13:35:00,Single,No,No,No,Car driver,Male,58,115,28,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,40_to_64,Day,,,
20212129,Vic,2021-08,2021,8,Monday,11:46:00,Multiple,No,No,No,Car driver,Male,24,100,5,Outer Regional Australia,Latrobe - Gippsland,Wellington (S),Local Road,No,No,17_to_25,Day,,,
20216015,Tas,2021-08,2021,8,Friday,15:20:00,Multiple,No,No,No,Car passenger,Male,45,20,14,Outer Regional Australia,Launceston and North East,West Tamar (M),National or State Highway,No,No,40_to_64,Day,,,
20211019,NSW,2021-08,2021,8,Tuesday,6:00:00,Multiple,No,Yes,Yes,Car driver,Male,48,125,14,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway,No,No,40_to_64,Day,,,
20212068,Vic,2021-08,2021,8,Friday,10:15:00,Single,No,No,No,Car driver,Female,51,92,26,Outer Regional Australia,Warrnambool and South West,Corangamite (S),Sub-Arterial Road,No,No,40_to_64,Day,,,
20213098,Qld,2021-08,2021,8,Monday,12:00:00,Single,No,No,No,Car passenger,Male,40,0,14,Remote Australia,Townsville,Charters Towers (R),Local Road,No,No,40_to_64,Day,,,
20213049,Qld,2021-08,2021,8,Friday,14:00:00,Single,No,No,No,Motorcycle rider,Male,51,75,27,Major Cities of Australia,Brisbane - East,Redland (C),Local Road,No,No,40_to_64,Day,,,
20213138,Qld,2021-08,2021,8,Monday,10:00:00,Single,No,No,Yes,Car driver,Male,40,112,11,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba (R),National or State Highway,No,No,40_to_64,Day,,,
20211116,NSW,2021-08,2021,8,Tuesday,14:30:00,Single,No,No,No,Car driver,Male,24,43,8,Outer Regional Australia,Far West and Orana,Broken Hill,Access Road,No,No,17_to_25,Day,,,
20214032,SA,2021-08,2021,8,Tuesday,16:11:00,Single,No,No,No,Car driver,Male,68,60,29,Inner Regional Australia,South Australia - South East,Mid Murray (DC),Sub-Arterial Road,No,No,65_to_74,Day,,,
20213117,Qld,2021-08,2021,8,Monday,16:00:00,Multiple,No,No,No,Pedal cyclist,Male,70,30,29,Major Cities of Australia,Gold Coast,Gold Coast (C),Sub-Arterial Road,No,No,65_to_74,Day,,,
20211123,NSW,2021-08,2021,8,Monday,14:33:00,Single,No,Yes,No,Car passenger,Male,70,0,30,Inner Regional Australia,Riverina,Wagga Wagga,Sub-Arterial Road,No,No,65_to_74,Day,,,
20213112,Qld,2021-08,2021,8,Monday,13:00:00,Multiple,No,No,No,Car driver,Male,67,140,29,Outer Regional Australia,Cairns,Douglas (S),National or State Highway,No,No,65_to_74,Day,,,
20211036,NSW,2021-08,2021,8,Tuesday,9:10:00,Single,No,No,No,Car driver,Male,18,124,4,Outer Regional Australia,Mid North Coast,Kempsey,Local Road,No,No,17_to_25,Day,,,
20212157,Vic,2021-08,2021,8,Tuesday,5:12:00,Multiple,No,No,No,Car driver,Male,50,113,12,Major Cities of Australia,Melbourne - West,Hobsons Bay (C),National or State Highway,No,No,40_to_64,Night,,,
20212014,Vic,2021-08,2021,8,Friday,9:56:00,Multiple,No,No,No,Car passenger,Female,8,0,3,Major Cities of Australia,Melbourne - Inner,Melbourne (C),Arterial Road,No,No,0_to_16,Day,,,
20213096,Qld,2021-08,2021,8,Monday,10:00:00,Multiple,No,No,No,Car passenger,Female,79,0,42,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,75_or_older,Day,,,
20212132,Vic,2021-08,2021,8,Wednesday,20:30:00,Single,No,No,No,Car driver,Male,63,141,29,Outer Regional Australia,North West,Mildura (RC),Arterial Road,No,No,40_to_64,Night,,,
20211033,NSW,2021-08,2021,8,Wednesday,5:55:00,Multiple,No,No,Yes,Car driver,Male,64,109,29,Outer Regional Australia,Central West,Forbes,National or State Highway,No,No,40_to_64,Night,,,
20213146,Qld,2021-08,2021,8,Thursday,12:00:00,Single,No,No,No,Car passenger,Male,85,0,45,Remote Australia,Townsville,Charters Towers (R),Sub-Arterial Road,No,No,75_or_older,Day,,,
20213053,Qld,2021-08,2021,8,Monday,16:00:00,Single,No,No,No,Car passenger,Female,83,20,44,Outer Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,75_or_older,Day,,,
20211044,NSW,2021-08,2021,8,Wednesday,17:20:00,Multiple,No,No,No,Car driver,Female,83,127,43,Inner Regional Australia,New England and North West,Armidale Regional,Local Road,No,No,75_or_older,Day,,,
20212125,Vic,2021-08,2021,8,Thursday,7:52:00,Multiple,No,No,No,Car driver,Female,83,94,43,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula (S),Local Road,No,No,75_or_older,Day,,,
20216015,Tas,2021-08,2021,8,Friday,15:20:00,Multiple,No,No,No,Car passenger,Female,75,20,43,Outer Regional Australia,Launceston and North East,West Tamar (M),National or State Highway,No,No,75_or_older,Day,,,
20217004,NT,2021-08,2021,8,Friday,15:30:00,Single,No,No,No,Car passenger,Female,29,0,5,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Sub-Arterial Road,No,No,26_to_39,Day,,,
20211109,NSW,2021-08,2021,8,Friday,3:30:00,Multiple,No,No,Yes,Car driver,Female,41,88,12,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Night,,,
20211109,NSW,2021-08,2021,8,Friday,3:30:00,Multiple,No,No,Yes,Car driver,Male,52,81,28,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Night,,,
20212128,Vic,2021-08,2021,8,Thursday,15:52:00,Single,No,No,No,Car passenger,Male,16,0,3,Inner Regional Australia,Warrnambool and South West,Moyne (S),Local Road,No,No,0_to_16,Day,,,
20212128,Vic,2021-08,2021,8,Thursday,15:52:00,Single,No,No,No,Car passenger,Female,19,0,4,Inner Regional Australia,Warrnambool and South West,Moyne (S),Local Road,No,No,17_to_25,Day,,,
20217019,NT,2021-08,2021,8,Thursday,18:20:00,Multiple,No,No,No,Motorcycle rider,Male,50,76,14,Remote Australia,Northern Territory - Outback,Alice Springs (T),Sub-Arterial Road,No,No,40_to_64,Night,,,
20213074,Qld,2021-08,2021,8,Monday,20:00:00,Single,No,No,No,Car driver,Male,69,90,28,Major Cities of Australia,Gold Coast,Gold Coast (C),Sub-Arterial Road,No,No,65_to_74,Night,,,
20212002,Vic,2021-08,2021,8,Tuesday,17:37:00,Single,No,No,No,Car driver,Male,20,100,2,Inner Regional Australia,Latrobe - Gippsland,Latrobe (C) (Vic.),Arterial Road,No,No,17_to_25,Day,,,
20213125,Qld,2021-08,2021,8,Wednesday,6:00:00,Multiple,No,Yes,No,Motorcycle rider,Male,25,73,6,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,17_to_25,Day,,,
20213132,Qld,2021-08,2021,8,Monday,8:00:00,Multiple,No,No,Yes,Car driver,Male,77,68,43,Outer Regional Australia,Central Queensland,Banana (S),Sub-Arterial Road,No,No,75_or_older,Day,,,
20211147,NSW,2021-08,2021,8,Wednesday,13:40:00,Single,No,No,No,Car driver,Female,86,75,44,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,Sub-Arterial Road,No,No,75_or_older,Day,,,
20214008,SA,2021-08,2021,8,Thursday,14:05:00,Single,No,No,No,Car driver,Male,90,113,44,Outer Regional Australia,South Australia - South East,Tatiara (DC),Arterial Road,No,No,75_or_older,Day,,,
20214008,SA,2021-08,2021,8,Thursday,14:05:00,Single,No,No,No,Car passenger,Female,85,0,44,Outer Regional Australia,South Australia - South East,Tatiara (DC),Arterial Road,No,No,75_or_older,Day,,,
20211123,NSW,2021-08,2021,8,Monday,14:33:00,Single,No,Yes,No,Car driver,Male,76,108,44,Inner Regional Australia,Riverina,Wagga Wagga,Sub-Arterial Road,No,No,75_or_older,Day,,,
20211021,NSW,2021-08,2021,8,Friday,15:30:00,Single,No,No,No,Car driver,Male,82,108,42,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-Arterial Road,No,No,75_or_older,Day,,,
20212150,Vic,2021-08,2021,8,Sunday,19:41:00,Single,No,No,No,Pedestrian,Male,49,0,12,Major Cities of Australia,Melbourne - North East,Banyule (C),Arterial Road,No,No,40_to_64,Night,,,
20217021,NT,2021-08,2021,8,Saturday,19:05:00,Single,No,No,No,Pedestrian,Male,15,0,4,Outer Regional Australia,Darwin,Darwin (C),Sub-Arterial Road,No,No,0_to_16,Night,,,
20212005,Vic,2021-08,2021,8,Sunday,17:00:00,Single,No,No,No,Pedestrian,Male,16,0,1,Major Cities of Australia,Melbourne - Inner South,Kingston (C) (Vic.),Local Road,No,No,0_to_16,Day,,,
20212055,Vic,2021-08,2021,8,Wednesday,11:00:00,Single,No,No,No,Pedestrian,Female,63,20,28,Major Cities of Australia,Melbourne - Inner South,Glen Eira (C),National or State Highway,No,No,40_to_64,Day,,,
20212028,Vic,2021-08,2021,8,Wednesday,16:05:00,Single,No,Yes,No,Pedestrian,Male,80,0,44,Major Cities of Australia,Melbourne - South East,Cardinia (S),Local Road,No,No,75_or_older,Day,,,
20212143,Vic,2021-08,2021,8,Monday,11:28:00,Single,No,No,No,Pedestrian,Female,80,0,44,Major Cities of Australia,Melbourne - North West,Hume (C),Local Road,No,No,75_or_older,Day,,,
20216019,Tas,2021-08,2021,8,Tuesday,11:37:00,Single,No,Yes,No,Pedestrian,Female,79,0,42,Outer Regional Australia,West and North West,Burnie (C),Local Road,No,No,75_or_older,Day,,,
20213010,Qld,2021-08,2021,8,Tuesday,3:00:00,Single,No,No,No,Pedestrian,Male,77,20,43,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,75_or_older,Night,,,
20213023,Qld,2021-08,2021,8,Monday,20:00:00,Multiple,No,No,No,Pedestrian,Male,17,20,1,Major Cities of Australia,Sunshine Coast,Sunshine Coast (R),National or State Highway,No,No,17_to_25,Night,,,
20213020,Qld,2021-07,2021,7,Saturday,2:00:00,Single,No,No,No,Car driver,Female,31,113,13,Outer Regional Australia,Wide Bay,Gympie (R),National or State Highway,No,No,26_to_39,Night,,,
20213040,Qld,2021-07,2021,7,Saturday,2:00:00,Single,No,No,No,Car driver,Male,35,90,15,Remote Australia,Mackay - Isaac - Whitsunday,Isaac (R),Local Road,No,No,26_to_39,Night,,,
20211135,NSW,2021-07,2021,7,Saturday,2:30:00,Single,No,No,No,Motorcycle rider,Male,40,83,15,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No,40_to_64,Night,,,
20212074,Vic,2021-07,2021,7,Saturday,19:00:00,Single,No,No,Yes,Car driver,Male,52,94,29,Inner Regional Australia,North West,Northern Grampians (S),National or State Highway,No,No,40_to_64,Night,,,
20214025,SA,2021-07,2021,7,Friday,22:00:00,Multiple,No,No,No,Car driver,Male,19,144,2,Outer Regional Australia,South Australia - South East,Wattle Range (DC),Arterial Road,No,No,17_to_25,Night,,,
20212154,Vic,2021-07,2021,7,Friday,20:00:00,Single,No,No,No,Car driver,Male,22,73,7,Inner Regional Australia,Melbourne - North West,Macedon Ranges (S),Local Road,No,No,17_to_25,Night,,,
20213059,Qld,2021-07,2021,7,Friday,23:00:00,Multiple,No,No,No,Car passenger,Female,20,0,5,Outer Regional Australia,Cairns,Cairns (R),Sub-Arterial Road,No,No,17_to_25,Night,,,
20212008,Vic,2021-07,2021,7,Monday,3:14:00,Multiple,No,No,No,Pedestrian,Female,63,20,27,Major Cities of Australia,Melbourne - South East,Casey (C),National or State Highway,No,No,40_to_64,Night,,,
20213162,Qld,2021-07,2021,7,Saturday,20:00:00,Multiple,No,No,No,Motorcycle rider,Male,17,116,3,Inner Regional Australia,Sunshine Coast,Noosa (S),Sub-Arterial Road,No,No,17_to_25,Night,,,
20213070,Qld,2021-07,2021,7,Friday,22:00:00,Multiple,No,No,No,Car driver,Male,18,84,3,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Collector Road,No,No,17_to_25,Night,,,
20212048,Vic,2021-07,2021,7,Sunday,3:57:00,Single,No,No,No,Car driver,Male,27,123,6,Inner Regional Australia,Latrobe - Gippsland,Wellington (S),Local Road,No,No,26_to_39,Night,,,
