,Crash ID,State,YYYYMM,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road User,Gender,Age,Speed,Driving experience,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day
4191,20176010,Tas,2017-09,Sunday,17:52:00,Multiple,No,No,No,Motorcycle rider,Male,66,120,26,Outer Regional Australia,West and North West,Central Coast (M) (Tas.),Collector Road,No,No,65_to_74,Day
4192,20172200,Vic,2017-09,Sunday,13:30:00,Multiple,No,No,No,Motorcycle rider,Male,29,94,5,Major Cities of Australia,Melbourne - Inner East,Manningham (C),Arterial Road,No,No,26_to_39,Day
4193,20174019,SA,2017-09,Friday,17:30:00,Multiple,No,No,No,Car driver,Male,83,76,42,Major Cities of Australia,Adelaide - West,West Torrens (C),Sub-Arterial Road,No,No,75_or_older,Day
4194,20171254,NSW,2017-09,Wednesday,13:30:00,Single,No,No,No,Car passenger,Male,87,20,43,Outer Regional Australia,New England and North West,Inverell,National or State Highway,No,No,75_or_older,Day
4195,20171179,NSW,2017-09,Monday,7:40:00,Single,No,No,No,Car driver,Female,77,51,41,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,75_or_older,Day
4196,20172166,Vic,2017-09,Tuesday,14:20:00,Multiple,No,Yes,Yes,Car passenger,Female,16,20,5,Inner Regional Australia,Ballarat,Moorabool (S),National or State Highway,No,No,0_to_16,Day
4197,20171005,NSW,2017-09,Thursday,11:05:00,Single,No,No,No,Car passenger,Female,16,20,4,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,0_to_16,Day
4198,20172184,Vic,2017-09,Wednesday,11:18:00,Single,No,No,No,Car driver,Female,18,50,4,Inner Regional Australia,Geelong,Golden Plains (S),National or State Highway,No,No,17_to_25,Day
4199,20172143,Vic,2017-09,Wednesday,7:00:00,Single,No,No,No,Car driver,Male,21,50,5,Inner Regional Australia,Shepparton,Campaspe (S),Collector Road,No,No,17_to_25,Day
4200,20171302,NSW,2017-09,Monday,6:10:00,Multiple,No,No,No,Car driver,Male,19,54,2,Major Cities of Australia,Sydney - South West,Fairfield,Collector Road,No,No,17_to_25,Day
